OTU	DI-1_250.fasta_good	DI-2_250.fasta_good	DI-3_250.fasta_good	DI-4_250.fasta_good	DI-5_250.fasta_good	Mock-25-1_250.fasta_good	Mock-25-2_250.fasta_good	Mock-25-3_250.fasta_good	Mock-25-4_250.fasta_good	Mock-25-5_250.fasta_good	Mock50-1_250.fasta_good	Mock50-2_250.fasta_good	Mock50-3_250.fasta_good	Mock50-4_250.fasta_good	Mock50-5_250.fasta_good	Mock75-1_250.fasta_good	Mock75-2_250.fasta_good	Mock75-3_250.fasta_good	Mock75-4_250.fasta_good	AeMBR-25-2_250.fasta_good	AeMBR-25-3_250.fasta_good	AeMBR-25-4_250.fasta_good	AeMBR-25_1_250.fasta_good	AeMBR-50-1_250.fasta_good	AeMBR-50-2_250.fasta_good	AeMBR-50-3_250.fasta_good	AeMBR-50-4_250.fasta_good	AeMBR-50-5_250.fasta_good	AeMBR75-1_250.fasta_good	AeMBR75-2_250.fasta_good	AeMBR75-3_250.fasta_good	AeMBR75-4_250.fasta_good	AeMBR75-5_250.fasta_good	AnMBR-25-1_250.fasta_good	AnMBR-25-2_250.fasta_good	AnMBR-25-3_250.fasta_good	AnMBR-25-4_250.fasta_good	AnMBR-25-5_250.fasta_good	AnMBR-50-1_250.fasta_good	AnMBR-50-2_250.fasta_good	AnMBR-50-3_250.fasta_good	AnMBR-50-4_250.fasta_good	AnMBR-50-5_250.fasta_good	AnMBR-75-1_250.fasta_good	AnMBR-75-2_250.fasta_good	AnMBR-75-3_250.fasta_good	AnMBR-75-4_250.fasta_good	AnMBR-75-5_250.fasta_good
OTU2	19803	13326	144	363	243	9189	12031	11625	108	11	12092	16876	15298	9254	19470	16351	3366	18044	5943	154	212	239	184	30254	16322	22846	21386	11408	21358	13295	17617	4079	18042	13378	176	208	276	239	9227	18740	26903	20716	11225	22122	22613	22958	81	183
OTU3	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	3	2	1	0	0	0	0	0	1	1	0	0	0	0	0	1	3	1	2	0	1	1	0	0
OTU4	129	146	149	184	124	40	12	23	18	14	12	26	112	29	14	38	12	103	36	121	100	49	191	12	101	74	51	9	24	112	21	15	25	97	160	32	34	64	7	7	236	77	11	10	33	14	17	166
OTU5	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
OTU6	1	0	3	0	10	2	0	0	1	0	0	0	0	0	2	3	0	0	0	5	4	3	7	4	12	14	2	2	0	4	2	1	0	26	74	34	8	13	3	21	5	4	11	13	5	26	18	5
OTU7	264	357	157	136	206	524	847	664	290	815	1529	1674	2487	482	2587	1247	535	3525	275	547	2329	1224	508	366	109	25	69	16	238	48	37	26	62	158	157	90	105	412	44	517	1109	598	2378	1566	1354	778	581	592
OTU8	0	1	2	0	2	1	1	1	2	2	0	1	2	2	0	3	1	4	0	1	5	0	3	2	0	3	0	0	1	0	0	0	3	0	1	4	0	0	0	0	0	0	0	1	0	1	7	4
OTU9	1	1	0	0	0	0	1	1	0	0	3	0	2	1	1	1	1	0	0	0	0	0	0	3	0	2	0	2	2	0	0	0	2	0	0	0	0	0	0	2	2	2	0	0	0	3	0	0
OTU10	281	371	178	284	296	71	92	113	36	35	56	94	108	67	38	139	27	104	22	300	467	84	226	222	411	165	214	76	232	187	119	48	182	162	695	346	549	293	187	185	190	150	100	208	160	171	320	150
OTU14	84	108	65	120	85	25	37	24	2	6	3	36	15	10	10	29	4	63	8	43	96	15	63	70	90	22	30	17	48	30	10	16	85	32	53	35	108	107	27	24	21	22	7	33	29	48	21	36
OTU15	336	396	342	322	479	101	133	112	134	58	69	141	175	149	53	162	35	136	53	327	425	134	295	338	205	73	89	69	239	112	19	132	203	128	170	183	377	524	132	93	332	271	121	421	327	164	471	259
OTU16	324	83	123	686	348	295	404	420	592	256	183	432	267	546	204	178	180	460	80	973	1073	354	421	103	66	278	50	109	290	455	90	100	31	426	626	276	155	216	527	648	264	316	977	114	461	443	480	605
OTU18	173	182	255	245	176	263	317	198	479	155	304	704	584	429	146	440	1995	616	443	212	948	212	302	291	264	269	229	111	295	339	638	253	130	629	708	337	285	198	324	789	324	295	378	564	691	595	702	824
OTU19	24	83	31	16	66	17	12	17	20	56	14	19	18	36	46	13	5	19	7	76	43	25	84	73	44	58	22	7	33	57	105	10	49	37	146	128	62	66	34	30	32	13	38	10	3	10	18	13
OTU20	466	825	680	780	523	270	362	587	516	974	565	950	986	628	865	1396	964	982	461	762	596	327	643	514	411	146	178	109	338	223	50	163	477	141	294	272	517	750	102	88	252	179	151	242	226	134	528	236
OTU21	157	291	182	301	310	149	119	224	153	361	130	284	201	168	380	294	83	135	76	351	274	90	276	290	209	82	82	83	143	100	46	88	253	47	136	99	237	369	26	39	108	64	59	97	78	56	259	79
OTU22	52	25	0	1	1	13	25	20	0	0	21	34	28	23	28	23	6	38	10	0	1	0	0	56	20	38	35	23	46	23	27	3	20	23	0	0	0	1	21	38	65	41	20	50	36	37	0	0
OTU24	32	799	11	122	478	54	92	143	156	36	19	58	35	152	41	61	85	85	11	307	109	94	144	212	497	119	496	226	104	400	360	70	29	187	551	124	84	268	127	207	76	129	336	95	151	357	258	454
OTU25	413	498	235	262	571	130	209	134	242	125	145	345	155	288	127	180	279	350	118	735	1451	842	1042	828	842	412	493	744	646	488	582	452	466	530	917	504	579	654	354	643	466	457	583	896	1557	853	1468	1402
OTU26	967	1476	1248	1904	1255	203	229	324	394	431	280	442	362	497	418	808	405	613	258	1397	826	1613	1258	778	1229	803	725	494	532	753	443	370	919	1107	677	1370	1252	1293	942	587	1673	1410	931	1135	1489	1100	2080	1657
OTU28	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	5	0	3	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	1	2	4	5	3	0	0
OTU29	526	74	51	1376	386	47	90	73	36	78	25	48	52	50	53	50	16	29	12	59	70	106	116	660	49	54	205	916	271	324	221	46	92	86	429	408	582	2984	14	75	26	21	58	39	80	48	74	198
OTU33	14	27	37	47	28	18	12	18	9	51	13	36	11	20	43	30	2	10	16	28	34	10	19	31	25	1	11	4	19	11	7	5	17	1	18	6	27	31	1	4	9	7	2	10	12	14	16	7
OTU34	0	1	0	4	2	1	1	2	3	1	5	1	1	2	7	2	0	4	0	3	1	0	2	3	0	2	2	0	4	0	0	0	1	1	8	1	1	4	0	4	0	0	2	5	0	0	4	1
OTU35	751	1258	370	848	889	322	263	328	340	478	232	575	309	449	412	657	198	517	98	1283	1107	770	1075	953	590	704	502	336	610	310	271	258	722	530	1125	941	992	1256	322	380	543	312	297	385	214	361	844	733
OTU36	830	1085	814	1128	1044	329	352	517	428	550	310	646	422	521	407	500	136	460	114	1087	1092	841	1121	952	751	432	374	255	442	389	356	238	940	483	810	1096	1462	1485	362	352	1023	705	435	547	718	491	937	700
OTU37	100	107	67	35	70	94	159	138	72	191	224	277	363	88	342	206	95	527	47	96	345	284	120	82	32	6	18	5	65	17	6	4	19	67	21	25	26	86	17	124	345	138	276	205	187	137	83	108
OTU38	16	53	18	15	29	9	12	10	19	10	9	21	21	25	7	13	4	12	7	24	26	24	31	45	53	22	19	5	32	11	20	22	41	15	37	28	39	26	14	16	20	9	13	14	8	11	29	16
OTU39	493	178	259	858	271	55	74	121	76	51	85	41	46	57	36	341	94	125	91	458	107	231	366	166	899	554	417	130	117	66	37	78	38	239	336	220	264	243	229	166	183	116	45	299	148	165	228	140
OTU40	318	129	334	318	198	51	26	52	97	33	33	101	53	106	29	66	56	108	17	621	1453	362	848	283	502	286	255	103	432	338	29	204	245	421	1532	721	512	475	509	443	624	568	845	400	480	233	1139	790
OTU41	33	30	52	43	33	29	25	42	45	11	10	53	33	46	9	39	16	54	13	103	116	39	81	60	24	12	31	23	74	44	6	39	101	40	241	57	92	37	211	320	93	111	119	188	191	323	336	410
OTU42	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	0	2	0	2	0	0	1	0	0	0	4	0	1	0	0	0	2	0	0	0	5	1	1	2
OTU43	3	5	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	8	0	0	0	0	3	1	3	0	2	0	5	1	3	0	0	16	4	4	1	0	11	88	38	16	42	73	19	17	20	61
OTU44	1	8	9	33	7	11	13	15	5	40	4	16	9	13	40	11	3	4	3	28	29	7	8	14	3	3	0	1	7	4	0	2	6	0	7	2	6	12	0	0	2	1	1	4	4	0	7	0
OTU45	160	204	236	379	285	199	135	197	115	268	199	412	298	136	236	358	116	324	148	288	267	147	329	130	104	42	70	38	106	72	68	41	104	77	143	138	268	277	42	91	199	191	87	140	192	91	300	140
OTU47	0	0	0	0	1	0	0	0	1	1	0	1	4	2	4	2	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0
OTU48	0	0	0	0	0	0	3	3	2	1	2	2	4	0	1	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	3	1	1	0	0	0
