"","ANOVA","t (Control ~ Bacteriophage)","t (Control ~ UV)","t (Control ~ Mix)","t (Bacteriophage ~ UV)","t (Bacteriophage ~ Mix)","t (UV ~ Mix)"
"Chryseobacterium",3.70127430117126e-08,1.12836164911465e-05,0.788151314322717,0.0124107423158608,1.31929436664231e-05,0.000417441914992399,0.0162058296039033
"Cloacibacterium",2.95968687765057e-23,1.88145545101941e-10,0.165371428090504,7.01825263322792e-09,8.831677933605e-10,0.39062503346836,1.44896913587833e-08
"Flavobacterium",0.220884155555253,0.34628321912695,0.464476731459964,0.333470315441323,0.877816835749665,0.007210392409462,0.122679021545459
"Epilithonimonas",0.788745331505992,0.268777283234015,0.414105638785902,0.388563341699612,0.787467439097286,0.950896671748946,0.767317193305297
"Soonwooa",0.276166189811935,0.147693502340285,0.346593507087334,0.146783640054566,0.300397685453274,0.755136974246115,0.24873479230453
"unclassified_Flavobacteriaceae",1.12770757053026e-05,0.000215921364693802,0.808755918728274,0.0808341528798487,0.000195673114452423,0.00064403473632252,0.105329006462299
"unclassified_Cryomorphaceae",3.05686701347481e-06,0.00106094414411964,NA,0.00302422708018263,0.00106094414411964,0.315834207264712,0.00302422708018263
"unclassified_""Flavobacteriales""",0.0021140688317957,0.00673909403618177,0.966111125298706,0.415817488649322,0.00203550495557711,0.000190533302870515,0.310685302834886
"Pedobacter",0.858135252466839,0.967675751516982,0.653967256841933,0.891801834382566,0.529961943731124,0.157277185161918,0.476802269044881
"Sphingobacterium",4.65506081273152e-23,9.78103110092287e-13,0.522896503766398,3.87680748756394e-07,5.77980431309553e-16,0.376010035923887,2.98345936378464e-07
"Mucilaginibacter",0.226458904212973,0.455889094796318,0.391668181127747,0.408110259947623,0.106764913038228,0.889806073290794,0.0955172745180273
"unclassified_Sphingobacteriaceae",0.00186094111046158,0.0150856575525405,0.702773413478184,0.00550464747784744,0.042479142341421,0.0477716540686448,0.0163057584532819
"Nubsella",0.400427144398211,0.346593507087334,0.221682420306629,0.193229973186122,0.36779680575531,0.681417614640468,0.480377370890448
"Solitalea",0.405474526049665,NA,NA,0.346593507087334,NA,0.346593507087334,0.346593507087334
"Taibaiella",0.0736543310079083,0.126104465682141,0.533320158121124,0.104408218304716,0.0915373054379156,0.3745097688837,0.0803933747563008
"Sediminibacterium",1.25143769607252e-05,0.0124196952812183,0.690452371017864,0.000762895278028462,0.00242000920885391,0.0945681952363803,9.46371045029792e-05
"unclassified_Chitinophagaceae",0.0293434612181212,0.717940238521959,0.634423234765766,0.0200765354494382,0.827328679243973,0.000893301638694031,0.0256412653146744
"Hydrotalea",0.405474526049665,0.346593507087334,NA,NA,0.346593507087334,0.346593507087334,NA
"Flavihumibacter",0.405474526049665,0.346593507087334,0.346593507087334,0.346593507087334,NA,NA,NA
"Niabella",0.405474526049665,NA,0.346593507087334,NA,0.346593507087334,NA,0.346593507087334
"unclassified_""Sphingobacteriales""",0.775618095199647,0.764286190279206,0.65931400473907,0.800186648245058,0.390762425391649,0.682364338717203,0.414148212008533
"Dyadobacter",1.15212774358103e-19,1.72238529780152e-11,0.841188903402468,5.05312096601663e-07,7.14615525080113e-12,0.0177496729876118,4.67157740892685e-07
"Runella",2.74149887294654e-18,9.19108806673805e-08,0.858498748962013,8.11949346167929e-07,6.739333709829e-08,8.19687398089271e-06,6.20345263556337e-07
"unclassified_Cytophagaceae",1.08642143969235e-05,0.0336922133180898,0.346593507087334,0.00356196133144763,0.00414922573031336,0.0189276509778423,0.0025360919161131
"Spirosoma",0.405474526049665,0.346593507087334,NA,NA,0.346593507087334,0.346593507087334,NA
"unclassified_Cytophagales",1.20285676550682e-05,0.00633575986888928,0.306541951567281,0.000374133159526297,0.00472427566911228,0.919717052449312,0.000324589918845806
"Paludibacter",0.00154645469959725,0.00135239442481629,0.361661333121007,0.000104666109497399,0.193227703664386,0.0322602356363805,0.0505072227237233
"Macellibacteroides",4.03646827070948e-08,0.000231951043946203,0.916290407985032,0.00024034935279634,0.000336457826175702,0.645315691882335,0.000355356752941166
"Acetobacteroides",0.00801498651717359,0.0105787556106058,0.667837312987809,0.017124277817497,0.0363055288231424,0.0372919897234065,0.0490329629414674
"Petrimonas",0.000754377584786713,0.0218243439362058,0.646027865332916,0.0203039083810477,0.00607073542711515,0.665358033369912,0.00565845376749289
"Dysgonomonas",0.093460972112232,0.152383698725088,0.0770933528359123,0.0213289635971365,0.419730725942928,0.180419209340616,0.66741374289457
"unclassified_""Porphyromonadaceae""",6.16113119585416e-06,0.000339863898566384,0.378233654969922,0.000399959541802088,0.0033734160888877,0.409872359726536,0.00371904111837026
"Microbacter",0.701369664868783,0.778368602807579,0.346593507087334,0.993516158257564,0.177864036106442,0.744483424329849,0.249952541484846
"Meniscus",0.0397363975153496,0.1095569005486,0.365373093123801,0.128842154460277,0.0557029597279801,0.807179152709975,0.0615270145621475
"unclassified_Prolixibacteraceae",0.92211457906728,0.50519155486778,0.996463886170707,0.899436387747963,0.607113976973244,0.190798742541305,0.925473041028155
"Bacteroides",0.331333045629051,0.0421471775918885,0.592615087590544,0.187455243637591,0.307574929446401,0.569275855423248,0.584797208859294
"Anaerorhabdus",0.405474526049666,0.346593507087334,0.346593507087334,0.346593507087334,NA,NA,NA
"unclassified_""Rikenellaceae""",0.0100265693852055,0.00199103874073571,0.825864814074552,0.00160477323755783,0.103324496012469,0.346593507087334,0.0869551907776575
"Alistipes",0.0596793740498859,0.0817388338659677,0.318052972155752,0.0817388338659677,0.17523866881588,NA,0.17523866881588
"Prevotella",0.104715022798977,0.345572672750903,0.288093961620803,0.366967762713619,0.104058629807702,0.87586651307928,0.1081953871677
"unclassified_""Prevotellaceae""",0.581998588809079,0.21901061469278,0.643488720515504,0.78271008487062,0.303129198886907,0.0993369490298554,0.538006177576326
"unclassified_""Bacteroidales""",9.68886715721665e-16,4.01226321807787e-08,0.202126209227956,4.26232402475226e-08,4.39846392664965e-06,0.00586568258785095,6.77328037384847e-06
"unclassified_Marinilabiliaceae",0.405474526049665,NA,0.346593507087334,NA,0.346593507087334,NA,0.346593507087334
"unclassified_""Bacteroidetes""",5.49829857029349e-19,2.32783680362353e-07,0.820535279249953,1.91600595915429e-07,3.75132448817619e-07,0.357589391960125,3.24802978684631e-07
"Leptolinea",0.197656845739392,0.0293146601456524,0.47131576323692,0.498663845130263,0.33074314227303,0.0232591393305637,0.726515024271508
"Levilinea",0.00827563377721269,0.0517603052998782,0.412485081321783,0.0443808793950715,0.0290182274384853,0.350064584276064,0.0260217605084407
"Ornatilinea",5.39553898261602e-05,0.00134329545643502,0.642449704889439,0.00153953551375216,0.00914602327068517,0.446594013188729,0.0105635079583363
"Pelolinea",0.990868693164022,0.77049875033202,0.914031317032997,0.994145725108983,0.69637134423386,0.847212244366179,0.95010125895939
"unclassified_Anaerolineaceae",8.71479960424216e-09,0.000268597211139097,0.0625617882751107,1.0886543109163e-05,0.000546881640508383,0.00146056249834212,0.000109255980266028
"unclassified_""Chloroflexi""",0.0026207602175979,0.00980902119752503,0.855818119332807,0.0111447995823461,0.0141221336409798,0.87034010799824,0.0159557253363339
"unclassified_Caldilineaceae",0.0694891806540374,0.193906138207181,0.29442199783195,0.193906138207181,0.0950828175168372,NA,0.0950828175168372
"Acidovorax",4.19113017202613e-18,5.21172600251568e-08,0.154923258059591,1.1022358790418e-10,1.78141857536246e-08,0.000546326824023915,7.56770499094935e-11
"Comamonas",5.04145075685262e-08,0.00110277756001844,0.32147226556439,0.000127764522059591,0.000851889764139603,0.572041923816361,9.80999529303304e-05
"Hydrogenophaga",1.62368848397854e-19,7.96898034332128e-08,0.742372392645268,9.33710311938196e-08,1.14609186485469e-07,0.00357594999632403,1.17659232231863e-07
"Rhodoferax",0.00749169044050436,0.0204802274176252,0.936946008632367,0.0462604605045208,0.0076126908444276,0.513827584028531,0.0205871429853894
"Simplicispira",0.247597143266245,0.1737197865376,0.762546057515552,0.342088804748649,0.0558392883565541,0.724196681739061,0.170921048558722
"Polaromonas",0.470910447838086,0.60774955440278,0.459116077585486,0.632235036285809,0.26459846240375,0.91342071126341,0.270673043761158
"unclassified_Comamonadaceae",1.2975949317197e-06,0.0575479114363214,0.376076286648211,5.85189456939402e-05,0.00881802468306273,0.000913209457433584,1.37077180771525e-05
"Variovorax",0.536430306207184,0.496299094784516,0.952765474017679,0.346593507087334,0.530346410595942,0.215400063664694,0.346593507087334
"Curvibacter",0.106797117251847,NA,0.17597448736924,NA,0.17597448736924,NA,0.17597448736924
"Janthinobacterium",0.261778193351628,0.353842660079819,0.300402565661193,0.0573783548876759,0.750874615201233,0.17771279463222,0.480731200289266
"Massilia",1.18201977241517e-14,1.69380609672064e-06,0.346593507087334,1.12650519694128e-05,1.70446344010873e-06,0.780416928631068,1.14068725048801e-05
"Herminiimonas",1.35207705479689e-16,1.66799124624267e-07,0.817172728388035,2.09161232376488e-10,2.71902387736821e-07,0.840388791715153,2.61139444270395e-10
"unclassified_Oxalobacteraceae",0.298280039509579,0.952428335209382,0.196064230892921,0.280571870403721,0.127314230350289,0.181716261239165,0.699280874732178
"Undibacterium",5.84440830998604e-05,0.00176942218324501,0.974478595618316,0.00195088272500095,0.00704059728043047,0.346593507087334,0.00774868724222921
"Duganella",0.00150279673026654,0.0213864356094836,0.114008227774622,0.0213864356094836,0.0180138997336546,NA,0.0180138997336546
"Herbaspirillum",0.405474526049665,0.346593507087334,0.346593507087334,0.346593507087334,NA,NA,NA
"Cupriavidus",0.27215736956609,0.346593507087334,0.16985248517886,0.17448506371467,0.238200626704771,0.32713378075175,0.558925365183008
"Polynucleobacter",0.000362662727635887,0.00171043705966481,0.561879600090208,0.00166889347727882,0.0152417654619241,0.346593507087334,0.0150090635061024
"Burkholderia",0.44155453367863,0.198091316386485,0.925750669419341,0.198091316386485,0.346593507087334,NA,0.346593507087334
"Ralstonia",0.127648786074399,0.214586242478134,0.420727314897387,0.249304489286382,0.110486168917205,0.346593507087334,0.121699348433549
"Leptothrix",0.566386166701275,0.977889472582433,0.869696537945298,0.274530845724976,0.909984319102265,0.323331846429959,0.238223962321409
"unclassified_Burkholderiales_incertae_sedis",0.187973274809627,0.0496452236949972,0.473133663019409,0.151172170804777,0.234599930583821,0.40840418888371,0.532961579418713
"Aquabacterium",0.204436504396002,0.149431652983417,0.854221613909717,0.247538531045771,0.0811100021556519,0.0207340498833639,0.175936393234767
"Thiomonas",0.100067193038824,0.248702388404204,0.351816690336007,0.248702388404204,0.102598371596926,NA,0.102598371596926
"Achromobacter",0.900741638735708,0.487573592906515,0.935956394983439,0.408012294298629,0.73906296875646,0.830372614345523,0.670404886559781
"unclassified_Alcaligenaceae",0.289717569002369,0.14623751870406,0.370084790759842,0.383610185350709,0.315065355380286,0.157472716903513,0.886035602718085
"Eoetvoesia",0.571885055058177,NA,0.346593507087334,0.346593507087334,0.346593507087334,0.346593507087334,0.855559589097751
"unclassified_Burkholderiales",0.0485200658419377,0.806337363650173,0.612825654848614,0.0531313691639701,0.387341782491962,0.00188860476295006,0.0252573443219791
"Zoogloea",7.37731567649016e-18,5.94127653297968e-08,0.698312995010078,7.72080366344092e-08,3.16126642630923e-08,0.15041749934178,4.46674301601296e-08
"Azonexus",6.76077206369729e-07,4.1479823217066e-05,0.366039951806088,0.000227756366940584,0.00109522153777033,0.0306127411767335,0.00576449497791255
"Azospira",7.6277280744749e-11,7.76764452897359e-06,0.00970334697359129,5.60049603170007e-06,0.000273542289772451,0.25491384966667,0.000458407880142543
"Dechloromonas",0.000186029539436787,0.0574677549872906,0.0230418603807857,0.0100043671530826,0.00333214756008534,0.388705780750801,0.00087118348033942
