,Richness,Shannon,Simpson,Pielou,Chao1,ACE,goods_coverage
DI-1_250.fasta_good,4859,8.02635571740641,0.947501122894268,0.655402980882335,7965.66875,8508.03432412337,0.974932272170326
DI-2_250.fasta_good,5592,8.5006030390987,0.977091156152206,0.682826053511416,9266.47295864263,9802.64001402651,0.9728886509195
DI-3_250.fasta_good,6029,9.39485061175581,0.994228905084765,0.748134479789311,9953.00544959128,10880.5943208962,0.958469296944527
DI-4_250.fasta_good,6448,9.41470810254501,0.994310811116428,0.743973045239782,10215.3674911661,10826.6576978714,0.967611740051227
DI-5_250.fasta_good,6277,9.46436017010673,0.995397813626255,0.750195432576011,10440.8561085973,11209.3666876364,0.962446312089218
Mock-25-1_250.fasta_good,3270,6.16457805450659,0.919212669179571,0.528011862582812,6260.54671968191,6656.17155752507,0.975326023578935
Mock-25-2_250.fasta_good,3091,6.52339439087082,0.94185349338137,0.562659506893462,5856.09146341463,6319.1653663734,0.974181636101896
Mock-25-3_250.fasta_good,3399,6.95901667816795,0.953485610946403,0.59322130901751,6855.89834024896,7084.53303217445,0.973052743425519
Mock-25-4_250.fasta_good,4378,7.98010356335702,0.980066841665567,0.659727716667542,8154.93811533052,8932.57051069822,0.9652505022037
Mock-25-5_250.fasta_good,4527,8.52445158590372,0.988930616352393,0.701927965852265,8276.34133333333,8980.15327538037,0.959066749499551
Mock50-1_250.fasta_good,3035,6.0087703060501,0.921101353307609,0.51945366578489,5968.64159292035,6243.77142234677,0.975673859478832
Mock50-2_250.fasta_good,4056,6.37180996311396,0.915953537033677,0.531611379209212,6677.44273743017,7208.60995739561,0.981115896556428
Mock50-3_250.fasta_good,3642,6.22294146264475,0.923407439741094,0.526007646647111,5859.29135053111,6300.14128760829,0.981076953721532
Mock50-4_250.fasta_good,4572,7.67169476306197,0.969979475255082,0.630968092552413,7961.70971867008,8588.76142834201,0.969285961964205
Mock50-5_250.fasta_good,4431,7.10758832663037,0.917986833382396,0.586753395395561,7967.16983695652,8553.43204057911,0.967651853426891
Mock75-1_250.fasta_good,4574,7.59665933249061,0.956466145626693,0.624764288404261,7643.08450704225,8131.40170864948,0.974732907215543
Mock75-2_250.fasta_good,3147,5.65840112070468,0.864552150194702,0.486963621290937,5314.5825426945,5511.11911592501,0.981912144702842
Mock75-3_250.fasta_good,4701,7.66798853820153,0.946248602358257,0.628587953921871,7957.55236907731,8513.780847626,0.972090979013295
Mock75-4_250.fasta_good,2473,5.1717120152626,0.843493968887211,0.458808611557119,3981.79054054054,4246.22948064395,0.98481749528005
AeMBR-25-2_250.fasta_good,7051,9.4976920181334,0.995040516980346,0.742958398248871,11774.9227202473,13054.8691832645,0.957614690018787
AeMBR-25-3_250.fasta_good,5703,8.81838501786366,0.992638213327902,0.706742637535706,9552.80892337536,10504.8449131947,0.968078840054373
AeMBR-25-4_250.fasta_good,6859,9.4778878908051,0.994924286448281,0.743726429795083,10779.3791505792,11670.2429721763,0.962857642328536
AeMBR-25_1_250.fasta_good,7351,9.49419333820209,0.995090816543932,0.739208717205284,12293.1456166419,13524.595374351,0.961321514907333
AeMBR-50-1_250.fasta_good,6561,7.4501806654947,0.898887992521704,0.587567581417926,10845.6966019417,11906.9141394521,0.966180061301886
