name,rank,Bacteriophage20-1.good.fasta,Bacteriophage20-2.good.fasta,Bacteriophage20-3.good.fasta,Bacteriophage40-1.good.fasta,Bacteriophage40-2.good.fasta,Bacteriophage40-3.good.fasta,Bacteriophage60-1.good.fasta,Bacteriophage60-2.good.fasta,Bacteriophage60-3.good.fasta,Control20-1.good.fasta,Control20-2.good.fasta,Control20-3.good.fasta,Control40-1.good.fasta,Control40-2.good.fasta,Control40-3.good.fasta,Control60-1.good.fasta,Control60-2.good.fasta,Control60-3.good.fasta,Mix20-1.good.fasta,Mix20-2.good.fasta,Mix20-3.good.fasta,Mix40-1.good.fasta,Mix40-2.good.fasta,Mix40-3.good.fasta,Mix60-1.good.fasta,Mix60-2.good.fasta,Mix60-3.good.fasta,UV20-1.good.fasta,UV20-2.good.fasta,UV20-3.good.fasta,UV40-1.good.fasta,UV40-2.good.fasta,UV40-3.good.fasta,UV60-1.good.fasta,UV60-2.good.fasta,UV60-3.good.fasta
Chryseobacterium,genus,8.356559198,7.501222727,2.197972932,8.009165893,8.997824031,7.188948469,7.063179218,8.875085208,8.886368625,0.383311073,4.701003972,0.295549709,0.412379536,5.136026381,0.321011016,0.343829846,0.258006672,0.223975844,3.550019278,3.635185762,2.500198999,3.926459683,3.855055474,2.88519898,3.821241839,3.886778955,3.586228579,3.870923748,4.595259392,0.291565133,0.439735976,0.468915695,0.429488647,0.215405441,3.837057088,0.204028393
Cloacibacterium,genus,0.116901539,0.112289366,0.081325484,0.121167827,0.102648066,0.101386491,0.103679067,0.10539831,0.106094973,0.020853711,0.016965729,0.007698039,0.017522055,0.014132611,0.007884481,0.008889679,0.008822779,0.011422271,0.126440223,0.112861069,0.096101763,0.123730474,0.120253318,0.0785827,0.11022813,0.118092012,0.114774466,0.011743848,0.011312217,0.005320532,0.009096731,0.01297941,0.015261018,0.006175615,0.009762375,0.006619242
Flavobacterium,genus,0.724575697,0.69443554,0.743581963,0.686617687,0.678664896,0.704252376,0.656634092,0.649910617,0.610960708,0.841099686,0.765453783,0.447860907,0.832501375,0.890747066,0.744895737,0.89728406,0.613779273,0.590978392,0.879265742,0.880683034,0.686884924,0.932737418,0.786480868,0.63505044,0.764443462,0.804551145,0.799443931,0.841389865,0.859728507,0.402080176,0.764307339,0.80361877,0.792482859,0.51356412,0.748152914,0.326289681
Epilithonimonas,genus,0.000237605,0,0.000242763,0,0,0,0,0.000273762,0,0,0,0,0,0,0,0,0.000238453,0,0,0,0,0.000396572,0,0.000319442,0,0,0,0,0.000131537,0,0,0,0,0,0.000887489,0
Soonwooa,genus,0.000118802,0,0,0.000274757,0,0.000605895,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000814881,0.000194145,0,0,0.000319442,0,0,0,0,0.000263075,0,0,0,0,0,0,0
unclassified_Flavobacteriaceae,,2.433191483,2.167386259,0.695272198,2.912973475,2.617525673,2.093974371,2.124223262,2.453179881,2.427013975,0.198606773,2.065827029,0.153135989,0.211487134,1.911043065,0.164447748,0.188403844,0.126618801,0.122913573,1.094666463,1.110887019,0.783569122,1.233339018,1.21341036,1.067255292,1.186171735,1.189336475,1.11763057,1.615726149,1.822319268,0.149734962,0.207587401,0.224240014,0.243086214,0.12598254,1.446606465,0.110969641
unclassified_Cryomorphaceae,,0.001188024,0.00128226,0.000242763,0.000549514,0.000848331,0.001009826,0.00068435,0.002190095,0.002195068,0,0,0,0,0,0,0,0,0,0.000430801,0.000407441,0.000582435,0.000793144,0.000604288,0.000638884,0.002276097,0.000526022,0.001136381,0,0,0,0,0,0,0,0,0
"unclassified_""Flavobacteriales""",,0.055005501,0.047443631,0.02573284,0.05632518,0.058110682,0.047865734,0.049615395,0.049550894,0.053413331,0.018371127,0.065367957,0.010447339,0.014262138,0.054567581,0.013140802,0.016919067,0.009538139,0.013408753,0.031448505,0.035447339,0.018249628,0.030932618,0.032631554,0.035458048,0.031215046,0.032350373,0.023295808,0.049248394,0.049326528,0.010793078,0.017101854,0.015740986,0.010900727,0.010128008,0.039936988,0.009344812
Pedobacter,genus,3.064982524,3.200155337,2.540268253,2.745921233,3.105740233,3.061993194,3.055281815,3.386707767,3.19455623,0.164347105,13.59803198,0.166332627,0.164625823,13.41341813,0.174209487,0.1522716,0.139733743,0.121672022,2.699186431,2.775893365,3.488008636,2.811695702,2.95375988,2.33543952,2.851299326,2.865769623,2.830724708,13.71491999,12.74900032,0.168584845,0.176840451,0.178397844,0.176591779,0.099550909,12.65381287,0.143676483
Sphingobacterium,genus,0.074607893,0.069791596,0.062147236,0.067040702,0.067018159,0.070485827,0.069461553,0.065702842,0.070242189,0.001986068,0.000997984,0.00164958,0.003259917,0,0.001126354,0.001720583,0.000953814,0.001738172,0.060743003,0.080469535,0.049118679,0.07019325,0.073420995,0.042805211,0.072184793,0.073906137,0.056819043,0,0.00052615,0.001368137,0.003274823,0.003037734,0.006540436,0.001482148,0.000443744,0.001168101
