Date,Q_SWW,Q_Return,COD_in,PO4P_in,NH4N_in,NO3N_in,DO_in,MLSS,MLVSS,COD_out,PO4P_out,NH4N_out,NO3N_out,DO_out,Condition,SteadyStateIndicator,Comments
1,0.375,0,401,6.01,29.9,0,0,4.57,4.18,10,6.94,17.3,7.06,3.65,1,0,#Reference
2,0.375,0,397,4.72,31.1,0,0,3.82,3.7,10.8,4.55,18.4,7.22,4.03,1,0,#Reference
3,0.375,0,400,5.36,29.5,0,0,5,4.7,10.64,4.61,15.7,7.37,4.01,1,0,#Reference
4,0.375,0,399,4.47,29.55,0,0,4.8,4.5,10.4,5.7,14.8,7.11,3.34,1,0,#Reference
5,0.375,0,446,5.36,29.6,0,0,4.45,4.22,9.91,5.8,13.7,7.56,3.98,1,1,#Reference
6,0.375,0,401,5.51,29.5,0,0,5,4.7,8.5,5.6,13.3,7.85,4.53,1,1,#Reference
7,0.375,0,409,5.51,29.8,0,0,4.74,4.62,11.4,6.27,13.1,7.51,4.05,1,1,#Reference
8,0.375,0,403,4.98,29.52,0,0,4.6,4.6,10,5.16,12.9,7.64,4.36,1,1,#Reference
9,0.375,0,400,5.56,30.9,0,0,4.6,4.6,11.81,7.65,13.4,7.51,4.32,1,1,#Reference
10,0.281,0.094,309,5.09,22.64,0,3.42,3.19,2.91,12.91,4.58,13.87,0,0.5,2,0,#QR25 1CN
11,0.281,0.094,309,4.02,22.64,0,3.3,3.54,3.27,11.32,6.52,11.56,0,0.25,2,0,#QR25 1CN
12,0.281,0.094,309,4.96,22.63,0,3.46,3.45,2.99,8.67,6.1,12.55,0,0.19,2,0,#QR25 1CN
13,0.281,0.094,309,4,21.61,0,3.43,3.69,3.24,8.51,3.2,11.51,0,0.17,2,0,#QR25 1CN
14,0.281,0.094,309,4,22.67,0,3.34,3.81,3.58,10.5,1.64,10.47,0,0.11,2,0,#QR25 1CN
15,0.281,0.094,307,4.05,21.43,0,3.38,4.26,3.9,9.05,1.08,9.48,0,0.09,2,0,#QR25 1CN
16,0.281,0.094,307,3.79,22.58,0,3.32,3.76,3.54,9.83,1.49,9.08,0,0.06,2,0,#QR25 1CN
17,0.281,0.094,309,4.12,22.5,0,3.3,3.71,3.46,9.6,2.78,9.08,0,0.06,2,0,#QR25 1CN
