#Datasets,b1matches,b2matches,s1matches,s2matches
"root;",54010.0,70086.0,9226.0,8473.0
"root;cellular organisms;",53684.0,56044.0,49367.0,50791.0
"root;cellular organisms;Bacteria;",492982.0,498686.0,499056.0,511563.0
"root;cellular organisms;Bacteria;Acidobacteria;",5800.0,5330.0,13525.0,12810.0
"root;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;",252.0,213.0,507.0,514.0
"root;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;",2259.0,2261.0,4111.0,4031.0
"root;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;",806.0,1850.0,2151.0,1987.0
"root;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;",1558.0,0.0,1513.0,1443.0
"root;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus Sulfopaludibacter;",0.0,0.0,2095.0,2104.0
"root;cellular organisms;Bacteria;Acidobacteria;Blastocatellia;",2111.0,2632.0,1540.0,2911.0
"root;cellular organisms;Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Pyrinomonas;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Pyrinomonas;Pyrinomonas methylaliphatogenes;",0.0,0.0,1967.0,1829.0
"root;cellular organisms;Bacteria;Acidobacteria;Blastocatellia;unclassified Blastocatellia;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Acidobacteria;Blastocatellia;unclassified Blastocatellia;Blastocatellia bacterium;",0.0,0.0,1583.0,0.0
"root;cellular organisms;Bacteria;Acidobacteria;unclassified Acidobacteria;",420.0,382.0,943.0,913.0
"root;cellular organisms;Bacteria;Acidobacteria;unclassified Acidobacteria;unclassified Acidobacteria (miscellaneous);",11345.0,10863.0,20362.0,20461.0
"root;cellular organisms;Bacteria;Acidobacteria;unclassified Acidobacteria;unclassified Acidobacteria (miscellaneous);Acidobacteria bacterium 13_1_20CM_3_53_8;",0.0,0.0,2600.0,2346.0
"root;cellular organisms;Bacteria;Acidobacteria;unclassified Acidobacteria;unclassified Acidobacteria (miscellaneous);Acidobacteria bacterium OLB17;",0.0,0.0,7287.0,6625.0
"root;cellular organisms;Bacteria;Acidobacteria;unclassified Acidobacteria;unclassified Acidobacteria (miscellaneous);Acidobacteria bacterium RBG_16_70_10;",2026.0,1849.0,3636.0,3885.0
"root;cellular organisms;Bacteria;Elusimicrobia;",248.0,1617.0,0.0,0.0
