OTU	MQ180615-57	MQ181108-127	MQ180831-130	MQ181108-123	MQ171106-92	MQ181108-140	MQ181108-124	MQ181221-119	MQ171215-156	MQ181108-118	MQ181108-130	MQ181108-136	MQ181221-116	MQ181221-114	MQ171129-75	MQ181108-119	MQ171129-106	MQ181108-138	MQ181221-118	MQ171106-87	MQ181108-122	MQ181108-120	MQ181108-134	MQ181108-133	MQ180525-285	MQ181108-125	MQ181108-135	MQ181108-141	MQ181108-132	MQ181221-113	MQ181108-139	MQ181108-126	MQ181108-137	MQ181221-117	MQ180212-184	MQ180819-22	MQ181108-131	MQ171215-93	MQ181221-111	MQ181221-112	MQ181108-128	MQ180801-286	MQ180615-71	MQ181221-115	MQ181108-129	MQ181108-121	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_3307	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__uncultured	s__
OTU_2392	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__OM27 clade	s__
OTU_2979	1	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__BVA77	g__	s__
OTU_250	0	20	0	32	0	0	10	2	0	27	52	49	6	4	0	27	0	28	3	0	35	26	30	13	0	11	17	0	62	21	0	16	33	7	0	0	52	0	20	21	29	0	0	6	19	39	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Spirosoma	s__
OTU_1853	4	0	0	0	4	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	3	0	0	0	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__vadinBC27 wastewater-sludge group	s__
OTU_2354	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Gelria	s__
OTU_1039	9	0	2	0	19	3	0	0	3	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	5	0	2	0	0	0	1	4	0	0	0	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfuromonadales	f__Geobacteraceae	g__Geobacter	s__
OTU_927	8	0	1	0	33	3	0	0	5	0	0	0	0	0	3	0	8	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	6	0	3	0	0	0	1	4	0	0	0	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__uncultured	g__	s__
OTU_1767	3	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	4	0	1	0	0	0	0	1	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__Roseomonas	s__
OTU_1508	12	0	0	0	21	6	0	0	6	0	0	0	0	0	3	0	1	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	4	0	7	0	0	0	0	5	0	0	0	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__uncultured	s__
